latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
11.98348,-86.17133,319.1,0.4,0.4,2017-08-21,07:18,N,nominal,1.0NRT,287.8,12,N
11.98293,-86.16782,335.4,0.4,0.4,2017-08-21,07:18,N,nominal,1.0NRT,289.7,12,N
11.98679,-86.17079,319,0.4,0.4,2017-08-21,07:18,N,nominal,1.0NRT,287.9,12,N
11.98624,-86.16727,328.8,0.4,0.4,2017-08-21,07:18,N,nominal,1.0NRT,292.9,12,N
-25.42655,-64.12872,316.6,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,281.3,2.1,N
-25.42608,-64.13271,312.5,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,281.3,1.9,N
-25.42562,-64.1367,316.8,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,281.2,1.9,N
-25.42516,-64.1407,317.5,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,280.8,1.7,N
-25.4247,-64.14469,303.7,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,278.9,1.7,N
-25.42423,-64.14867,297.3,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,276.9,0.8,N
-25.42338,-64.1201,306.3,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,278.6,1.1,N
-25.42061,-64.14408,304.4,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,277.9,3.6,N
-25.42015,-64.14807,303.4,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,276.2,0.9,N
-25.41968,-64.15205,298.1,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,275.1,0.9,N
-25.42291,-64.1241,322.7,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,280.7,2.5,N
-25.42245,-64.12809,321.2,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,280.8,2.5,N
-25.42199,-64.1321,325.3,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,281.7,3.4,N
-25.42153,-64.13609,329.2,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,282.1,3.4,N
-25.42107,-64.14008,346.4,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,284.1,3.6,N
-25.3286,-57.63989,299.3,0.5,0.7,2017-08-21,05:42,N,nominal,1.0NRT,280.7,0.8,N
-25.32824,-57.64481,297,0.5,0.7,2017-08-21,05:42,N,nominal,1.0NRT,279.4,0.8,N
-23.82633,-70.31754,296.7,0.4,0.4,2017-08-21,05:42,N,nominal,1.0NRT,282.8,1,N
-23.82298,-70.31689,338.4,0.4,0.4,2017-08-21,05:42,N,nominal,1.0NRT,286.9,7.9,N
-23.78362,-70.31836,296.4,0.4,0.4,2017-08-21,05:42,N,nominal,1.0NRT,282.3,0.6,N
-23.78027,-70.31771,299.6,0.4,0.4,2017-08-21,05:42,N,nominal,1.0NRT,281.8,0.6,N
-24.47056,-65.18072,295.1,0.5,0.4,2017-08-21,05:42,N,nominal,1.0NRT,276.7,1.1,N
-24.58368,-63.79524,300.9,0.4,0.5,2017-08-21,05:42,N,nominal,1.0NRT,274.7,1.1,N
