latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-30.38315,-68.70354,338.7,0.6,0.5,2017-08-25,06:12,N,nominal,1.0NRT,287.4,4,N
-30.37773,-68.70922,297.6,0.6,0.5,2017-08-25,06:12,N,nominal,1.0NRT,283.2,4,N
-30.37829,-68.70301,325.9,0.6,0.5,2017-08-25,06:12,N,nominal,1.0NRT,287.5,4,N
-30.37287,-68.70866,298.4,0.6,0.5,2017-08-25,06:12,N,nominal,1.0NRT,284.7,2.3,N
-30.37342,-68.70244,324.6,0.6,0.5,2017-08-25,06:12,N,nominal,1.0NRT,287.6,2.3,N
-29.23798,-66.41557,315,0.4,0.6,2017-08-25,06:12,N,nominal,1.0NRT,281.4,1.7,N
-29.22441,-66.44684,296.6,0.4,0.6,2017-08-25,06:12,N,nominal,1.0NRT,283.5,1.3,N
-29.22409,-66.45087,308.6,0.4,0.6,2017-08-25,06:12,N,nominal,1.0NRT,284.4,1.1,N
-29.22377,-66.4549,297.7,0.4,0.6,2017-08-25,06:12,N,nominal,1.0NRT,282.7,1.1,N
-27.8565,-64.36086,331.8,0.5,0.7,2017-08-25,06:12,N,nominal,1.0NRT,286.9,4.3,N
-27.85036,-64.36029,303.2,0.5,0.7,2017-08-25,06:12,N,nominal,1.0NRT,286.5,1.1,N
-27.97592,-60.84138,300.7,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,288.7,4.1,N
-27.96849,-60.84095,335,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,289.1,4.1,N
-26.99187,-65.39881,307.9,0.4,0.6,2017-08-25,06:12,N,nominal,1.0NRT,285.6,0.9,N
-26.98614,-65.39834,296.7,0.4,0.6,2017-08-25,06:12,N,nominal,1.0NRT,285.8,0.6,N
-26.38993,-61.1316,314.7,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292,2.6,N
-26.38954,-61.13951,304.6,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.4,3,N
-26.36745,-61.14584,309.3,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.9,3.7,N
-26.36784,-61.13799,324.1,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.4,3.7,N
-26.36061,-61.13745,326.1,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293.1,4.9,N
-26.37292,-61.14077,311,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,291.9,4,N
-26.36569,-61.14027,335.1,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293.2,4,N
-15.98659,-61.21791,299.2,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.3,0.5,N
-15.986,-61.22358,299.3,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.4,0.5,N
-15.9765,-61.25123,332.3,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,289,5.1,N
-15.78284,-61.75114,311.2,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,289.9,9,N
-15.78182,-61.76158,307.5,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,289.3,16.2,N
-15.78233,-61.75638,367,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,292.3,16.2,N
-15.78113,-61.74829,315.1,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,289.9,23.6,N
-15.78058,-61.75355,354.2,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,293,23.6,N
-15.78004,-61.75872,367,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,292.3,48.3,N
-15.87254,-60.78806,309.1,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.3,3.1,N
-15.87196,-60.79391,312,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.4,1.9,N
-15.77536,-61.74216,303.6,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,289.5,9.6,N
-15.77373,-61.75779,307.4,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,289.3,22.5,N
-15.77481,-61.74743,345.3,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,293.5,44.2,N
-15.77427,-61.75264,367,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,295.2,44.2,N
-15.86525,-60.79319,306.3,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.1,1.9,N
-15.86464,-60.79927,299.8,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,287.8,1.9,N
-15.86403,-60.80551,305.7,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.3,2.2,N
-15.86341,-60.81173,314.4,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.8,2.2,N
-15.8567,-60.81103,305.2,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.3,1.6,N
-15.85553,-60.82292,315.8,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.6,5,N
-15.85496,-60.82867,308.9,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.5,4,N
-15.84943,-60.81611,312.9,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.7,5,N
-15.8477,-60.83363,301.3,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.3,4,N
-15.84885,-60.82198,336.3,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,290,5,N
-15.84827,-60.82789,323.5,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.9,4,N
-15.84274,-60.81516,300,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.4,2.2,N
-15.84217,-60.82099,318.2,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,289,2.2,N
-15.84103,-60.83268,300.8,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.6,3.3,N
-15.8416,-60.82687,325.6,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,289.1,3.3,N
-15.62426,-62.23306,302.2,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,290.5,1.3,N
-15.62375,-62.23787,317.5,0.5,0.7,2017-08-25,06:06,N,nominal,1.0NRT,290.8,3.3,N
-15.62321,-60.98737,302.7,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,287.9,1.3,N
-15.6226,-60.99344,303.3,0.6,0.7,2017-08-25,06:06,N,nominal,1.0NRT,288.3,1.8,N
-13.63988,-72.66275,306.7,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,274.1,1.5,N
-13.64044,-72.65916,321.8,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,275.1,2,N
-14.62607,-64.72903,327.1,0.3,0.6,2017-08-25,06:06,N,nominal,1.0NRT,290.7,1.6,N
-14.63023,-64.72837,301.7,0.3,0.6,2017-08-25,06:06,N,nominal,1.0NRT,290.7,0.7,N
-14.62508,-64.72772,303,0.3,0.6,2017-08-25,06:06,N,nominal,1.0NRT,290.6,0.6,N
-14.62469,-64.73085,306.8,0.3,0.6,2017-08-25,06:06,N,nominal,1.0NRT,289.8,0.6,N
-52.2271,-68.95329,300.8,0.4,0.6,2017-08-25,06:18,N,nominal,1.0NRT,266.9,0.7,N
-37.32311,-68.9368,306.9,0.3,0.6,2017-08-25,06:12,N,nominal,1.0NRT,274.6,0.7,N
-33.17377,-68.44399,312.3,0.6,0.6,2017-08-25,06:12,N,nominal,1.0NRT,279.5,2.7,N
-33.16359,-68.44285,299.1,0.6,0.6,2017-08-25,06:12,N,nominal,1.0NRT,278.6,1.3,N
-33.22346,-66.18021,301.7,0.4,0.6,2017-08-25,06:12,N,nominal,1.0NRT,275.7,2.3,N
-33.22314,-66.18552,319.1,0.4,0.6,2017-08-25,06:12,N,nominal,1.0NRT,278.9,2.3,N
-33.22282,-66.1906,319,0.4,0.6,2017-08-25,06:12,N,nominal,1.0NRT,281,5.5,N
-33.21765,-66.17979,305.5,0.4,0.6,2017-08-25,06:12,N,nominal,1.0NRT,275.9,2.3,N
-33.21733,-66.18507,328,0.4,0.6,2017-08-25,06:12,N,nominal,1.0NRT,280.6,2.3,N
-32.75822,-71.47552,343.9,0.4,0.5,2017-08-25,06:12,N,nominal,1.0NRT,270.1,10,N
-32.96593,-68.65015,340.2,0.6,0.6,2017-08-25,06:12,N,nominal,1.0NRT,280.7,8.1,N
-32.96663,-68.65079,338.6,0.6,0.6,2017-08-25,06:12,N,nominal,1.0NRT,280.7,6.7,N
-32.86662,-68.40302,297.9,0.6,0.6,2017-08-25,06:12,N,nominal,1.0NRT,279.6,1.3,N
-30.38802,-68.7041,317,0.6,0.5,2017-08-25,06:12,N,nominal,1.0NRT,284.8,2,N
-26.35846,-61.13975,315.6,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.7,2.3,N
-26.31029,-61.08897,310.5,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293.2,3.5,N
-26.30264,-61.09632,306.7,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.6,4.4,N
-26.30304,-61.08845,326.8,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293.4,5.5,N
-26.09011,-61.35079,306.8,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.9,2.3,N
-26.08151,-61.50824,304.5,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293,1.8,N
-26.0811,-61.51564,307.8,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.7,2.7,N
-26.08297,-61.3503,308.8,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293.5,2.4,N
-25.97477,-61.31851,314.9,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.8,3.7,N
-25.97436,-61.3261,308.7,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.8,3.7,N
-25.97558,-61.30326,321.8,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.9,4.7,N
-25.97517,-61.3109,325.9,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293,4.7,N
-25.97969,-60.79632,305.6,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,291.5,1.9,N
-25.97355,-60.77111,306,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,291.5,2.3,N
-25.97235,-60.79581,305.2,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,291.7,1.9,N
-25.97195,-60.804,305.2,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,291.8,1.9,N
-25.97156,-60.81219,307.3,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,291.8,3.1,N
-25.9662,-60.77058,314.6,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,291.3,5.2,N
-25.92102,-61.65669,304,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.8,1.5,N
-25.91401,-61.65617,306.1,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293.1,1.5,N
-25.907,-61.65562,307.9,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293.2,2,N
-25.91238,-61.27571,314.8,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.1,4.9,N
-25.912,-61.28333,327.7,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.8,5.9,N
-25.90485,-61.28282,314.8,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.5,5.9,N
-25.97956,-60.79137,307.1,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,291.7,2.7,N
-25.97355,-60.7662,306.6,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,291.5,1.9,N
-9.21052,-67.0055,306.6,0.4,0.5,2017-08-25,06:06,N,nominal,1.0NRT,290.7,1.6,N
-9.21001,-67.00914,320.5,0.4,0.5,2017-08-25,06:06,N,nominal,1.0NRT,291.3,1.6,N
-10.1897,-59.23092,298.9,0.7,0.8,2017-08-25,06:06,N,nominal,1.0NRT,287.3,0.6,N
-9.55438,-64.43066,313.2,0.6,0.5,2017-08-25,06:06,N,nominal,1.0NRT,267.7,3,N
-9.20591,-67.00858,314.7,0.4,0.5,2017-08-25,06:06,N,nominal,1.0NRT,291.3,2.3,N
-9.54948,-64.42996,300.5,0.6,0.5,2017-08-25,06:06,N,nominal,1.0NRT,275,3,N
-8.68254,-70.57174,311.3,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,292.5,1.2,N
-9.54529,-64.42378,305.1,0.6,0.5,2017-08-25,06:06,N,nominal,1.0NRT,270.6,2.2,N
-9.54458,-64.42926,296.8,0.6,0.5,2017-08-25,06:06,N,nominal,1.0NRT,269.8,2.5,N
-9.19414,-67.0032,319,0.4,0.5,2017-08-25,06:06,N,nominal,1.0NRT,290.9,2.2,N
-9.19534,-67.00423,311.5,0.4,0.5,2017-08-25,06:06,N,nominal,1.0NRT,290.4,1.5,N
-9.55781,-64.43039,300.7,0.6,0.5,2017-08-25,06:06,N,nominal,1.0NRT,261.8,2.3,N
-9.19125,-67.00363,302.9,0.4,0.5,2017-08-25,06:06,N,nominal,1.0NRT,290,0.6,N
-9.55291,-64.42972,314.1,0.6,0.5,2017-08-25,06:06,N,nominal,1.0NRT,272.2,2.3,N
-9.55215,-64.4352,303.7,0.6,0.5,2017-08-25,06:06,N,nominal,1.0NRT,273.6,2.3,N
-9.54311,-64.42834,296.8,0.6,0.5,2017-08-25,06:06,N,nominal,1.0NRT,266.2,1.9,N
-8.62241,-70.66745,306.5,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,291.5,0.7,N
-10.19037,-59.2322,302.1,0.7,0.8,2017-08-25,06:06,N,nominal,1.0NRT,287.1,2.5,N
-9.53401,-64.27441,299.2,0.6,0.5,2017-08-25,06:06,N,nominal,1.0NRT,270.7,2,N
-9.52983,-64.26798,296.3,0.6,0.5,2017-08-25,06:06,N,nominal,1.0NRT,274.1,2,N
-10.24358,-58.22138,299.1,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,286.6,1.9,N
-10.24191,-58.2361,305.7,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,286.7,7.4,N
-10.23626,-58.22049,300,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,285.7,1.9,N
-10.23378,-58.24244,300.8,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,286.6,9.3,N
-10.23461,-58.23504,342.7,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,286.7,7.4,N
-9.26778,-65.8812,305,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,289.5,1.4,N
-8.75051,-69.49844,305.6,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,287.8,1,N
-9.26336,-65.88052,309.3,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,290.1,2.3,N
-9.30842,-65.48107,310.1,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,289.8,1.8,N
-9.30796,-65.47781,303.8,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,289.8,1.1,N
-9.30731,-65.4824,302.6,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,289.5,1.1,N
-10.24293,-58.2192,298.8,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,286.3,1.6,N
-10.24204,-58.22663,299.9,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,285.5,1.6,N
-10.24117,-58.23395,312.5,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,285.7,4.3,N
-10.24029,-58.24127,310.7,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,286.5,4.3,N
-10.23562,-58.21831,298.3,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,285.9,1.6,N
-10.23299,-58.24029,315.9,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,286.5,4.3,N
-10.23387,-58.2329,326.7,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,285.9,4.3,N
-10.15676,-58.75513,303.8,0.7,0.8,2017-08-25,06:06,N,nominal,1.0NRT,284.3,1.8,N
-10.15595,-58.76185,296.9,0.7,0.8,2017-08-25,06:06,N,nominal,1.0NRT,282.2,0.8,N
-10.18187,-58.23389,302.2,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,285.6,2.7,N
-8.48576,-70.73862,306.3,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,290.2,0.9,N
-9.232,-65.62486,303,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,289.6,1,N
-9.23075,-65.63386,303.8,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,289.6,0.9,N
-9.22751,-65.62418,310.3,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,289.9,1.1,N
-9.22302,-65.62353,302.7,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,289.7,1.1,N
-9.21495,-65.54869,306.1,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,290.1,1.1,N
-8.55527,-70.12449,312.8,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,286.5,1.5,N
-8.55183,-70.12396,320.3,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,287.7,2.2,N
-9.19136,-65.58691,307.5,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,290.1,2.7,N
-9.19197,-65.58237,328.7,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,291.2,2.7,N
-8.43963,-70.72403,317.3,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,291.4,1.7,N
-8.38024,-71.08852,303.2,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,289.7,0.3,N
-9.19102,-65.58047,317.6,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,290.6,2.2,N
-9.19038,-65.58499,325.3,0.5,0.5,2017-08-25,06:06,N,nominal,1.0NRT,290.9,3.9,N
-9.97653,-58.34813,306.4,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,288.1,1.9,N
-9.96927,-58.34742,300.3,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,287.4,1.9,N
-8.3636,-70.5383,318,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,291.5,1.8,N
-8.36021,-70.53778,311.8,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,291.5,1.3,N
-8.31044,-70.7196,304.5,0.4,0.4,2017-08-25,06:06,N,nominal,1.0NRT,291.6,0.6,N
-9.97527,-58.3424,302.8,0.8,0.8,2017-08-25,06:06,N,nominal,1.0NRT,287.9,1.6,N
-25.97221,-60.79091,305.6,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,291.5,2.7,N
-25.97133,-60.80726,306.7,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292,4.6,N
-25.9662,-60.76572,314,0.8,0.8,2017-08-25,06:12,N,nominal,1.0NRT,291.8,3.5,N
-25.9156,-61.65842,304.1,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.8,1.5,N
-25.90859,-61.65791,308.1,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293.3,1.5,N
-25.90909,-61.27822,327.7,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,292.9,5.2,N
-25.90867,-61.28584,332.3,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293.5,5.2,N
-25.25772,-61.68876,314.8,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,293.6,3.6,N
-25.25815,-61.68169,326.6,0.7,0.8,2017-08-25,06:12,N,nominal,1.0NRT,294,3.6,N
-24.92791,-62.95155,303.5,0.6,0.7,2017-08-25,06:12,N,nominal,1.0NRT,288.4,1.2,N
-24.92751,-62.95735,302.4,0.6,0.7,2017-08-25,06:12,N,nominal,1.0NRT,288.5,1.2,N
